Accession..,Family,Genus,Species,variety.hybrid,scientific_name,Native.country,Native.Region,Origin,Date.brought.in,number,form,plant.source,latest.update,Synonym
B2006.259,Orchidaceae,Restrepia,iris,NA,Restrepia iris ,Ecuador,South American,Ecuador,23-Sep-06,0,NA,Ecuagenera,2/24/2023,NA
B91.509,Orchidaceae,Restrepia,trichoglossa,NA,Restrepia trichoglossa ,Costa Rica,Central America,Mexico (Chiapas) to Peru,12-Sep-91,0,NA,Dick Snow,2/24/2023,#NAME?
B91.517,Orchidaceae,Restrepia,elegans,NA,Restrepia elegans ,NA,NA,NA,NA,0,NA,NA,2/24/2023,NA
B91.521,Orchidaceae,Restrepia,antennifera,var. antennifera,Restrepia antennifera var. antennifera,Multiple Countries,South American,"Venezuela, Colombia, Ecuador",12-Sep-91,0,NA,Dick Snow,2/24/2023,NA
B92.102,Orchidaceae,Restrepia,elegans,NA,Restrepia elegans ,NA,NA,NA,NA,0,NA,NA,2/24/2023,NA
B92.105,Orchidaceae,Restrepia,citrina,NA,Restrepia citrina ,NA,NA,NA,NA,0,NA,NA,2/24/2023,NA
B92.106,Orchidaceae,Restrepia,trichoglossa,NA,Restrepia trichoglossa ,Costa Rica,Central America,Mexico (Chiapas) to Peru,20-Jan-92,1,division(s),Dick Snow,2/24/2023,#NAME?
B92.107,Orchidaceae,Restrepia,subserrata,NA,Restrepia subserrata ,Multiple Countries,South American,C America to coastal Col. & Ecuador,NA,0,NA,Dick Snow,2/24/2023,NA
B92.108,Orchidaceae,Restrepia,shuttlewartii,NA,Restrepia shuttlewartii ,NA,NA,NA,NA,0,NA,NA,2/24/2023,NA
B92.111,Orchidaceae,Restrepia,mucifera,NA,Restrepia mucifera ,Guatemala,Central America,Guatemala,NA,0,NA,NA,2/24/2023,NA
B92.115,Orchidaceae,Restrepia,sanguinea,'A7',Restrepia sanguinea 'A7',NA,NA,NA,NA,0,NA,NA,2/24/2023,NA
B92.121,Orchidaceae,Restrepia,xanthophthalma,NA,Restrepia xanthophthalma ,Honduras,Middle America,Honduras,20-Jan-92,0,NA,Dick Snow,2/24/2023,NA
B92.122,Orchidaceae,Restrepia,antennifera,NA,Restrepia antennifera ,NA,NA,NA,NA,0,NA,NA,2/24/2023,NA
B92.123,Orchidaceae,Restrepia,antennifera,var. striata,Restrepia antennifera var. striata,Multiple Countries,South American,"Venezuela, Colombia, Ecuador",NA,0,NA,Dick Snow,2/24/2023,NA
B92.124,Orchidaceae,Restrepia,lancasteri,NA,Restrepia lancasteri ,NA,NA,NA,NA,0,NA,NA,2/24/2023,NA
B92.271,Orchidaceae,Restrepia,elegans,NA,Restrepia elegans ,NA,NA,NA,20-Jan-92,0,NA,Dick Snow,2/24/2023,NA
B96.168,Orchidaceae,Restrepia,sp,NA,Restrepia sp ,Ecuador,South American,Ecuador,8-Jul-96,0,NA,Dean Kelch,2/24/2023,NA
B96.172,Orchidaceae,Restrepia,antennifera,NA,Restrepia antennifera ,Ecuador,NA,NA,8-Jul-96,0,NA,Dean Kelch,2/24/2023,NA
B96.381,Orchidaceae,Restrepia,elegans,NA,Restrepia elegans ,NA,NA,NA,24-Oct-96,0,NA,Eric Sachs,2/24/2023,NA
B96.383,Orchidaceae,Restrepia,antennifera,NA,Restrepia antennifera ,NA,NA,NA,24-Oct-96,0,NA,Eric Sachs,2/24/2023,NA
B96.384,Orchidaceae,Restrepia,antennifera,subsp. striata,Restrepia antennifera subsp. striata,Multiple Countries,NA,"Venezuela, Colombia, Ecuador",24-Oct-96,0,NA,Eric Sachs,2/24/2023,NA
B99.099,Orchidaceae,Restrepia,muscifera,NA,Restrepia muscifera ,Multiple Countries,Central America,Central America to Colombia,21-May-99,0,NA,Howard and Joan Gunn,2/24/2023,NA
B99.100,Orchidaceae,Restrepia,antennifera,subsp. striata,Restrepia antennifera subsp. striata,Multiple Countries,South American,"Venezuela, Colombia, Ecuador",21-May-99,0,NA,Howard and Joan Gunn,2/24/2023,NA
B99.101,Orchidaceae,Restrepia,sp,NA,Restrepia sp ,Unknown,NA,NA,21-May-99,0,NA,Howard and Joan Gunn,2/24/2023,NA
BAB.083,Orchidaceae,Restrepia,shuttlewartii,NA,Restrepia shuttlewartii ,NA,NA,South America,20-Jan-92,0,NA,#2 Santa Barbara Orchid Estates #31683,2/24/2023,NA
B2016.213,Hyacinthaceae,Resnova,megaphylla,NA,Resnova megaphylla ,South Africa,South African,South Africa,13-Aug-16,0,plant(s),Plantae Novae,2/24/2023,NA
B2019.159,Hyacinthaceae,Resnova,humifusa,NA,Resnova humifusa ,South Africa,South African,South Africa : Eastern Cape and KwaZulu-Natal,9-Apr-19,3,plant(s),Tim Harvey,2/24/2023,#NAME?
B2021.079,Hyacinthaceae,Resnova,megaphylla,NA,Resnova megaphylla ,South Africa,South African,South Africa (Eastern Transvaal),18-Oct-21,0,NA,Plant Novae,2/24/2023,NA
B2006.108,Orchidaceae,Renanthera,philippinense,NA,Renanthera philippinense ,Philippines,South East Asia,Philippines,25-May-06,0,NA,NA,2/24/2023,NA
B2019.454,Orchidaceae,Renanthera,citrina,NA,Renanthera citrina ,Vietnam,South East Asia,Vietnam,6-Dec-19,0,NA,Atlanta Botanical Garden,2/24/2023,NA
B2020.041,Gesneriaceae,Reldia,NA,NA,Reldia  ,NA,NA,NA,11-Mar-20,0,NA,Mundiflora,2/24/2023,pedunculata
B99.209,Arecaceae,Reinhardtia,gracilis,NA,Reinhardtia gracilis ,Multiple Countries,Central America,eastern Nicaragua and Costa Rica,31-Aug-99,0,NA,Pacific Coast Tropical Gardens,2/24/2023,NA
B2006.057,Marsileaceae,Regnellidium,diphyllum,NA,Regnellidium diphyllum ,Multiple Countries,South American,SE Brazil and adjacent Argentina,30-Mar-06,0,NA,"Tim Devine, CSUC (Chico)",2/24/2023,NA
B2007.127,Marsileaceae,Regnellidium,diphyllum,NA,Regnellidium diphyllum ,Multiple Countries,South American,southeastern Brazil and adjacent Argentina,27-Sep-07,0,plant(s),Dean Kelch,2/24/2023,NA
B95.009,Marsileaceae,Regnellidium,diphyllum,NA,Regnellidium diphyllum ,Multiple Countries,South American,southeastern Brazil and adjacent Argentina,19-Jan-95,0,NA,"Tim Devine, CSUC (Chico)",2/24/2023,NA
B99.008,Marsileaceae,Regnellidium,diphyllum,NA,Regnellidium diphyllum ,Multiple Countries,South American,"SE Brazil, Argentina",2-Feb-99,0,NA,"Tim Devine, CSUC (Chico)Tim Devine, CSUC (Chico)",2/24/2023,NA
B99.215,Marsileaceae,Regnellidium,diphyllum,NA,Regnellidium diphyllum ,Multiple Countries,South American,southeastern Brazil and adjacent Argentina,9-Sep-99,0,NA,"Berkeley, UC Botanic Garden",2/24/2023,NA
B2000.033,Cactaceae,Rebutia,spinosissima,NA,Rebutia spinosissima ,Multiple Countries,South American,Bolivia and Argentina,8-May-00,0,NA,Peck's Cactus Garden,2/24/2023,#NAME?
B2002.182,Cactaceae,Rebutia,minuscula,NA,Rebutia minuscula ,Argentina,South American,northern Argentina,22-May-02,0,NA,Mesa Garden,2/24/2023,#NAME?
B2003.269,Cactaceae,Rebutia,spinosissima,NA,Rebutia spinosissima ,Multiple Countries,South American,Bolivia and Argentina,NA,0,seed(s),Mesa Garden,2/24/2023,#NAME?
B2005.140,Cactaceae,Rebutia,mentosa,subsp. purpurea,Rebutia mentosa subsp. purpurea,Bolivia,South American,"Bolivia: Campero province, near Cruce",12-Apr-05,0,NA,Huntington Botanical Gardens,2/24/2023,Clone 3
B2005.145,Cactaceae,Rebutia,mentosa,clone 3,Rebutia mentosa clone 3,Bolivia,South American,"Bolivia: Campero province, Cochabamba",12-Apr-05,0,NA,Huntington Botanical Gardens,2/24/2023,#NAME?
B2005.151,Cactaceae,Rebutia,steinbachii,clone 1,Rebutia steinbachii clone 1,Bolivia,South American,eastern Bolivia,12-Apr-05,0,NA,Huntington Botanical Gardens,2/24/2023,#NAME?
B2008.208,Cactaceae,Rebutia,arenacea,NA,Rebutia arenacea ,Bolivia,South American,Bolivia: Cochabamba,1-Dec-08,0,NA,Planta Seca,2/24/2023,NA
B2009.082,Cactaceae,Rebutia,narvaecensis,NA,Rebutia narvaecensis ,Bolivia,South American,Bolivia: Tarija,4-May-09,1,plant(s),Plantaseca,2/24/2023,NA
B2010.052,Cactaceae,Rebutia,heliosa,NA,Rebutia heliosa ,Bolivia,South American,Bolivia (Tarija),4-Jun-10,1,plant(s),Desert Creations,2/24/2023,NA
B2018.010,Cactaceae,Rebutia,pygmaea,NA,Rebutia pygmaea ,Multiple Countries,South American,"Bolivia, Argentina",8-Jan-18,0,plant(s),Planta Seca,2/24/2023,NA
B2018.012,Cactaceae,Rebutia,arenacea,NA,Rebutia arenacea ,Bolivia,South American,Bolivia (Cochabamba),8-Jan-18,0,plant(s),Planta Seca,2/24/2023,#NAME?
B2018.014,Cactaceae,Rebutia,canigueralii,NA,Rebutia canigueralii ,Bolivia,South American,Bolivia: Chuquisaca,8-Jan-18,0,plant(s),Planta Seca,2/24/2023,#NAME?
B2018.015,Cactaceae,Rebutia,canigueralii,NA,Rebutia canigueralii ,Bolivia,South American,Bolivia: Chuquisaca,8-Jan-18,0,plant(s),Planta Seca,2/24/2023,#NAME?
B2018.016,Cactaceae,Rebutia,steinbachii,NA,Rebutia steinbachii ,Bolivia,South African,eastern Bolivia,8-Jan-18,0,plant(s),Planta Seca,2/24/2023,NA
B2021.201,Cactaceae,Rebutia,canigueralii,#NAME?,Rebutia canigueralii = Sulcorebutia rauschii,Bolivia,South American,Bolivia: Chuquisaca,15-Dec-21,0,NA,Peter Walkowiak,2/24/2023,NA
B80.090,Cactaceae,Rebutia,nivea,NA,Rebutia nivea ,NA,South American,NA,18-Jun-80,0,NA,Don Shor,2/24/2023,NA
B81.095,Cactaceae,Rebutia,sp,NA,Rebutia sp ,Unknown,South American,NA,5-Jul-81,0,NA,Sandy Martin,2/24/2023,NA
B85.219,Cactaceae,Rebutia,canigueralii,NA,Rebutia canigueralii ,Bolivia,South American,Bolivia: Chuquisaca,7-Jul-85,0,NA,Western Cactus Growers,2/24/2023,#NAME?
B86.257,Cactaceae,Rebutia,canigueralii,NA,Rebutia canigueralii ,Bolivia,South American,Bolivia: Chuquisaca,3-May-86,0,NA,Sacramento Cactus & Succulents Society,2/24/2023,#NAME?
B88.507,Cactaceae,Rebutia,spinosissima,NA,Rebutia spinosissima ,Multiple Countries,South American,Bolivia and Argentina,NA,0,NA,NA,2/24/2023,NA
B94.003,Cactaceae,Rebutia,neocumingii,NA,Rebutia neocumingii ,Multiple Countries,South American,"Bolivia, Peru",6-Jan-94,0,NA,Larry Mitich,2/24/2023,#NAME?
B95.356,Cactaceae,Rebutia,neocumingii,NA,Rebutia neocumingii ,Multiple Countries,South American,"Bolivia, Peru",NA,0,NA,Larry Mitich,2/24/2023,#NAME?
BAA.1042,Cactaceae,Rebutia,minuscula,NA,Rebutia minuscula ,Argentina,South American,northern Argentina,21-May-04,0,NA,NA,2/24/2023,pink flrs.
BAA.174,Cactaceae,Rebutia,sp,NA,Rebutia sp ,NA,South American,NA,NA,0,NA,NA,2/24/2023,Needs New BAB#
BAB.618,Cactaceae,Rebutia,pygmaea,NA,Rebutia pygmaea ,Multiple Countries,South American,"Bolivia, Argentina",26-May-16,0,NA,NA,2/24/2023,NA
B2000.024,Strelitziaceae,Ravenala,madagascariensis,NA,Ravenala madagascariensis ,Madagascar,Madagascaran,Madagascar,11-Apr-00,0,NA,Olbrich Botanic Garden,2/24/2023,NA
B97.386,Apocynaceae,Rauvolfia,tetraphylla,NA,Rauvolfia tetraphylla ,Multiple Countries,American,subtropical and tropical America,12-Nov-97,0,NA,"Tom Lemieux, U of CO, Boulder",2/24/2023,NA
B90.072,Amaryllidaceae,Rauhia,multiflora,NA,Rauhia multiflora ,Peru,South American,Peru,20-Jan-90,0,NA,UCSB Botanical Collection,2/24/2023,NA
B96.318,Amaryllidaceae,Rauhia,decora,NA,Rauhia decora ,Peru,South American,Peru,2-Sep-96,0,NA,Dylan P. Hannon,2/24/2023,NA
B98.109,Amaryllidaceae,Rauhia,multiflora,NA,Rauhia multiflora ,Peru,South American,northern Peru,6-Apr-98,0,NA,"Don Agostinelli, CSUS",2/24/2023,NA
B87.172,Asclepiadaceae,Raphionacme,flanaganii,NA,Raphionacme flanaganii ,South Africa,South African,South Africa,NA,0,NA,NA,2/24/2023,NA
B94.284,Asclepiadaceae,Raphionacme,flanaganii,NA,Raphionacme flanaganii ,South Africa,South African,South Africa,NA,0,NA,NA,2/24/2023,NA
BAB.322,Asclepiadaceae,Raphionacme,hirsuta,NA,Raphionacme hirsuta ,South Africa,South African,South Africa,NA,0,NA,NA,2/24/2023,NA
B2019.469,Araceae,Raphidophora,hayi,NA,Raphidophora hayi ,Multiple Countries,Mixed regions,"Queensland, New Guinea, Bismarck Archipelago",NA,1,pot,Eric Cendejas,2/24/2023,NA
B2020.023,Araceae,Raphidophora,tetrasperma,NA,Raphidophora tetrasperma ,Multiple Countries,South East Asia,southern Thailand and to Malaysia,12-Feb-20,0,cutting(s),Grant Ireland,2/24/2023,NA
B2014.008,Ranunculaceae,Ranunculus,californicus,NA,Ranunculus californicus ,Multiple Countries,North American,"California, southern Oregon, Baja CA (Mexico)",29-Jan-14,2,plant(s),Annie's Annuals & Perennials,2/24/2023,NA
B2017.271,Ranunculaceae,Ranunculus,californicus,NA,Ranunculus californicus ,Multiple Countries,North American,"California, southern Oregon, Baja CA (Mexico)",29-Jan-19,0,seed(s),Larner Seeds,2/24/2023,NA
B94.147,Ranunculaceae,Ranunculus,cortusifolius,NA,Ranunculus cortusifolius ,Multiple Countries,NA,"Canary Islands, Madeira, and the Azores.",NA,0,NA,NA,2/24/2023,NA
B2006.073,Bromeliaceae,Racinaea,crispa,NA,Racinaea crispa ,Colombia,South American,Colombia,5-Apr-06,0,NA,Ron Parsons,2/24/2023,NA
B2022.102,Quillajaceae,Quillaja,saponaria,NA,Quillaja saponaria ,Chile,South American,central Chile,26-May-21,0,NA,Gage Wiley,2/24/2023,NA
B96.045,Quillajaceae,Quillaja,saponaria,NA,Quillaja saponaria ,Chile,South American,Chile,26-Mar-96,0,NA,Forest farm,2/24/2023,NA
B61.100,Cactaceae,Quiabentia,verticillata,NA,Quiabentia verticillata ,Multiple Countries,South American,"Bolivia, Paraguay, and northwestern Argentina",NA,0,NA,NA,2/24/2023,#NAME?
B92.940,Cactaceae,Quiabentia,verticillata,NA,Quiabentia verticillata ,Multiple Countries,South American,"Bolivia, Paraguay and northwestern Argentina",14-Dec-92,0,NA,Huntington Botanical Gardens,2/24/2023,#NAME?
B82.229,Bromeliaceae,Quesnelia,marmorata,NA,Quesnelia marmorata ,Brazil,South American,eastern Brazil,25-Nov-82,0,NA,"Don Agostinelli, CSUS",2/24/2023,NA
B2005.021,Fagaceae,Quercus,suber,NA,Quercus suber ,Multiple Countries,Mediterranean,"southern Europe, northern Africa",4-Feb-05,0,NA,Frantz Nursery,2/24/2023,NA
B2010.022,Fagaceae,Quercus,garryana,NA,Quercus garryana ,Multiple Countries,North American,California to British Columbia (Canada),7-Apr-10,1,plant(s),California Flora Nursery,2/24/2023,NA
B2010.039,Fagaceae,Quercus,douglasii,NA,Quercus douglasii ,United States,North American,California,15-Oct-09,0,plant(s),"Arboretum, UCD",2/24/2023,NA
B2017.137,Fagaceae,Quercus,douglasii,NA,Quercus douglasii ,United States,North American,California,3-Apr-17,3,plant(s),California Flora Nursery,2/24/2023,NA
B2019.276,Fagaceae,Quercus,lobata,NA,Quercus lobata ,United States,North American,California,24-Jun-19,3,plant(s),California Flora Nursery,2/24/2023,NA
B2019.298,Fagaceae,Quercus,chrysolepis,NA,Quercus chrysolepis ,Multiple Countries,North American,"California, Oregon, Arizona; Baja California (Mex)",24-Jun-19,1,NA,California Flora Nursery,2/24/2023,NA
B2019.299,Fagaceae,Quercus,vacciniifolia,NA,Quercus vacciniifolia ,United States,North American,"southern Oregon, California, Nevada",24-Jun-19,2,NA,California Flora Nursery,2/24/2023,NA
B2019.300,Fagaceae,Quercus,garryana,NA,Quercus garryana ,Multiple Countries,North American,California to British Columbia (Canada),24-Jun-19,1,NA,California Flora Nursery,2/24/2023,NA
B2001.023,Polypodiaceae,Pyrrosia,lycopodiodes,NA,Pyrrosia lycopodiodes ,Multiple Countries,American,American tropics,30-Jan-90,0,NA,"Don Agostinelli, CSUS",2/24/2023,NA
B2011.049,Polypodiaceae,Pyrrosia,lingua,NA,Pyrrosia lingua ,Multiple Countries,Asian,"China, India, Japan, Korea, Myanmar, Vietnam",29-Mar-11,1,plant(s),Chad Wunderly,2/24/2023,NA
B2013.169,Polypodiaceae,Pyrrosia,lingua,NA,Pyrrosia lingua ,Multiple Countries,Asian,"China, India, Japan, Korea, Myanmar, Vietnam",30-Aug-13,0,plant(s),Paul Tsamtsis,2/24/2023,crested
B2013.170,Polypodiaceae,Pyrrosia,lingua,NA,Pyrrosia lingua ,Multiple Countries,Asian,"China, India, Japan, Korea, Myanmar, Vietnam",30-Aug-13,0,plant(s),Paul Tsamtsis,2/24/2023,monstrose
B2013.350,Polypodiaceae,Pyrrosia,sheareri,NA,Pyrrosia sheareri ,Multiple Countries,Asian,"Taiwan, China, Vietnam",NA,0,NA,Cistus Design Nursery,2/24/2023,NA
B94.496,Polypodiaceae,Pyrrosia,piloselloides,NA,Pyrrosia piloselloides ,NA,Pacific Islands,NA,NA,0,NA,NA,2/24/2023,NA
B95.026,Polypodiaceae,Pyrrosia,polydactylis,NA,Pyrrosia polydactylis ,NA,NA,NA,31-Jan-95,0,NA,"Don Agostinelli, CSUS",2/24/2023,NA
B97.014,Polypodiaceae,Pyrrosia,stigmosa,NA,Pyrrosia stigmosa ,NA,NA,NA,25-Feb-97,0,NA,"Don Agostinelli, CSUS",2/24/2023,NA
B2015.004,Icacinaceae,Pyrenacantha,malvifolia,NA,Pyrenacantha malvifolia ,Multiple Countries,African,"Ethiopia, Somalia, Kenya, Tanzania",6-Jan-15,6,plant(s),Rare Succulents,2/24/2023,NA
B96.368,Icacinaceae,Pyrenacantha,malvifolia,NA,Pyrenacantha malvifolia ,Multiple Countries,African,"Ethiopia, Somalia, Kenya, Tanzania",19-Oct-96,0,NA,"Tim Devine, CSUC (Chico)",2/24/2023,NA
B97.104,Icacinaceae,Pyrenacantha,malvifolia,NA,Pyrenacantha malvifolia ,Multiple Countries,African,"Ethiopia, Somalia, Kenya, Tanzania",28-May-97,0,NA,Seymour Linden,2/24/2023,NA
B97.118,Icacinaceae,Pyrenacantha,malvifolia,NA,Pyrenacantha malvifolia ,Multiple Countries,African,"Ethiopia, Somalia, Kenya, Tanzania",28-May-97,0,NA,Seymour Linden,2/24/2023,NA
B97.133,Cactaceae,Pygmaeocereus,bylesianus,NA,Pygmaeocereus bylesianus ,Peru,South American,southern Peru,17-Jun-97,0,NA,Anne Shein,2/24/2023,NA
B2006.335,Bromeliaceae,Puya,humilis,NA,Puya humilis ,Bolivia,South American,Bolivia,1-Dec-09,0,NA,Huntington Botanical Gardens,2/24/2023,NA
B2013.163,Bromeliaceae,Puya,alpestris,NA,Puya alpestris ,Chile,South American,south central Chile,19-Aug-13,0,NA,NA,2/24/2023,NA
B2014.161,Bromeliaceae,Puya,raimondii,NA,Puya raimondii ,Multiple Countries,South American,"Bolivia, Peru",15-Nov-14,3,seedling(s),Evan Wolf,2/24/2023,NA
B79.104,Bromeliaceae,Puya,coerulea,NA,Puya coerulea ,Chile,South American,Chile,5-Jul-79,0,NA,Exotic Plants Ltd.,2/24/2023,NA
B96.358,Bromeliaceae,Puya,mirabilis,NA,Puya mirabilis ,Multiple Countries,South American,Argentina and Bolivia,1-Sep-96,0,NA,Anthony Lord,2/24/2023,NA
B96.394,Bromeliaceae,Puya,berteroniana,NA,Puya berteroniana ,Chile,South American,central Chile,1-Oct-96,0,NA,Anthony Lord,2/24/2023,NA
B97.270,Bromeliaceae,Puya,laxa,NA,Puya laxa ,Argentina,South American,Argentina,24-Sep-97,0,NA,Dean Kelch,2/24/2023,NA
B99.054,Bromeliaceae,Puya,coerulea,NA,Puya coerulea ,Chile,South American,Central Chile,16-Feb-99,0,NA,Anthony Lord,2/24/2023,NA
B67.229,Euphorbiaceae,Putranjiva,roxburghii,NA,Putranjiva roxburghii ,Multiple Countries,Asian,NA,10-Apr-67,0,NA,Grady L. Webster,2/24/2023,female
B96.307,Punicaceae,Punica,protopunica,clone 1,Punica protopunica clone 1,Yemen,Socotra,Socotra,2-Sep-96,0,NA,Dylan P. Hannon,2/24/2023,NA
B96.311,Punicaceae,Punica,protopunica,clone 2,Punica protopunica clone 2,Yemen,Socotra,Socotra,2-Sep-96,0,NA,Dylan P. Hannon,2/24/2023,NA
B2022.258,Cactaceae,Puna,clavarioides,NA,Puna clavarioides ,NA,NA,NA,28-Oct-22,1,division(s),Gianluca Bacci,2/24/2023,NA
B2010.167,Amaranthaceae,Ptilotus,exaltatus,NA,Ptilotus exaltatus ,Australia,Australian,Australia,10-Aug-10,2,plant(s),Anthony Lord,2/24/2023,NA
B95.007,Orchidaceae,Pterostylus,taurus,NA,Pterostylus taurus ,Australia,NA,NA,17-Jan-95,0,NA,Dean Kelch; Close Orchids,2/24/2023,NA
B95.008,Orchidaceae,Pterostylus,abrupta,NA,Pterostylus abrupta ,Australia,NA,NA,17-Jan-95,0,NA,Dean Kelch; Close Orchids,2/24/2023,NA
B2002.120,Pedaliaceae,Pterodiscus,aurantiacus,NA,Pterodiscus aurantiacus ,Multiple Countries,African,"southwestern Angola, Namibia, Botswana",25-Jun-02,0,NA,Arid Lands Greenhouses,2/24/2023,NA
B2022.159,Pedaliaceae,Pterodiscus,ngamicus,NA,Pterodiscus ngamicus ,Multiple Countries,African,"Botswana, Mozamb., Namib., South Afr., Zimb.",26-Jul-22,0,NA,Gianluca Bacci,2/24/2023,NA
B2022.160,Pedaliaceae,Pterodiscus,ngamicus,NA,Pterodiscus ngamicus ,Multiple Countries,African,"Botswana, Mozamb., Namib., South Afr., Zimb.",26-Jul-22,0,NA,Gianluca Bacci,2/24/2023,NA
B2022.161,Pedaliaceae,Pterodiscus,ngamicus,NA,Pterodiscus ngamicus ,Multiple Countries,African,"Botswana, Mozamb., Namib., South Afr., Zimb.",26-Jul-22,0,NA,Gianluca Bacci,2/24/2023,NA
B92.931,Pedaliaceae,Pterodiscus,speciosus,NA,Pterodiscus speciosus ,South Africa,South African,South Africa,NA,0,NA,NA,2/24/2023,NA
B95.355,Pedaliaceae,Pterodiscus,sp,NA,Pterodiscus sp ,Unknown,African,within southern Africa -species range unverified,30-Nov-95,0,NA,Collection Plant (UCD Botanical Conservatory),2/24/2023,NA
B99.139,Pedaliaceae,Pterodiscus,elliotii,NA,Pterodiscus elliotii ,Multiple Countries,African,Africa Tropical,17-Jun-99,0,NA,"Tim Devine, CSUC (Chico)",2/24/2023,NA
BAB.412,Pedaliaceae,Pterodiscus,sp,NA,Pterodiscus sp ,South Africa,South African,within South Africa,NA,0,NA,NA,2/24/2023,NA
BAB.592,Cactaceae,Pterocactus,tuberosus,NA,Pterocactus tuberosus ,Argentina,South American,northern Argentina,NA,0,NA,Unknown,2/24/2023,NA
B68.036,Pteridaceae,Pteris,altissima,NA,Pteris altissima ,Multiple Countries,American,tropical America,NA,0,NA,NA,2/24/2023,NA
B88.302,Pteridaceae,Pteris,altissima,NA,Pteris altissima ,Multiple Countries,American,tropical America,21-Jun-88,0,NA,"Berkeley, UC Botanic Garden",2/24/2023,NA
B88.428,Pteridaceae,Pteris,ensiformis,'Victoriae',Pteris ensiformis 'Victoriae',Multiple Countries,Multiple Regions,"Him. to Japan, Philipp., Polyn. & trop. Australia",29-Aug-88,0,NA,Gwen Stephens,2/24/2023,NA
B97.020,Pteridaceae,Pteris,catoptera,NA,Pteris catoptera ,Multiple Countries,African,South Africa and southern tropical Africa,25-Feb-97,0,NA,"Don Agostinelli, CSUS",2/24/2023,NA
B97.021,Pteridaceae,Pteris,tremula,NA,Pteris tremula ,Multiple Countries,NA,"New Zealand, Australia, Fiji",25-Feb-97,0,NA,"Don Agostinelli, CSUS",2/24/2023,NA
B97.022,Pteridaceae,Pteris,wallichiana,NA,Pteris wallichiana ,Multiple Countries,Multiple Regions,Tropical Asia to Pacific New Guinea,25-Feb-97,0,NA,"Don Agostinelli, CSUS",2/24/2023,NA
B97.023,Pteridaceae,Pteris,longifolia,NA,Pteris longifolia ,Multiple Countries,American,"West Indies, Central America to Brazil",25-Feb-97,0,NA,"Don Agostinelli, CSUS",2/24/2023,NA
BAB.030,Pteridaceae,Pteris,sp,NA,Pteris sp ,Unknown,South American,Ecuador and ?,NA,0,NA,Dean Kelch,2/24/2023,NA
BAB.087,Pteridaceae,Pteris,NA,NA,Pteris  ,Multiple Countries,Australian,"New Zealand, Australia, Fiji",NA,0,NA,NA,2/24/2023,tremula ?
BAB.332,Pteridaceae,Pteris,tremula,NA,Pteris tremula ,Multiple Countries,NA,"New Zealand, Australia, Fiji",NA,0,NA,NA,2/24/2023,NA
B2009.305,Rubiaceae,Psychotria,viridis,NA,Psychotria viridis ,Multiple Countries,South American,Amazonia,20-Jul-10,1,plant(s),Bouncing Bear Botanicals,2/24/2023,NA
B2021.050,Rubiaceae,Psychotria,poeppigiana,NA,Psychotria poeppigiana ,Multiple Countries,American,southern Mexico to Peru and Argentina,12-Jul-21,0,NA,Logee's Greenhouses,2/24/2023,NA
B97.049,Rubiaceae,Psychotria,hirtella,NA,Psychotria hirtella ,NA,NA,NA,3-Mar-97,0,NA,"Berkeley, UC Botanic Garden",2/24/2023,NA
BAB.007,Rubiaceae,Psychotria,horizontalis,NA,Psychotria horizontalis ,Multiple Countries,American,tropical America,NA,0,NA,Dr. Robert Pearcy,2/24/2023,NA
B2006.035,Orchidaceae,Psychopsis,NA,Mendenhall 'Monarch' AM/AOS,Psychopsis  Mendenhall 'Monarch' AM/AOS,NA,NA,hybrid origin,26-Feb-06,0,NA,Norman's Orchids,2/24/2023,#NAME?
B2006.241,Orchidaceae,Psychopsis,papilio,'Oro de Jefe' x self,Psychopsis papilio 'Oro de Jefe' x self,Multiple Countries,Multiple Regions,"Trinidad, northern South America",23-Sep-06,0,NA,Tropical Orchid Farm,2/24/2023,select yellow variety
B2021.056,Fabaceae,Psorothamnus,spinosus,NA,Psorothamnus spinosus ,Multiple Countries,American,"S California, W Arizona, Baja California (Mexico)",14-Feb-21,3,plant(s),UC Davis Arboretum,2/24/2023,NA
B2009.115,Fabaceae,Psoralea,pinnata,NA,Psoralea pinnata ,South Africa,South African,South Africa (Cape),19-May-09,1,plant(s),Annie's Annuals & Perennials,2/24/2023,Kool-Aid Bush
B2009.118,Fabaceae,Psoralea,fleta,NA,Psoralea fleta ,South Africa,South African,South Africa,19-May-09,1,plant(s),Annie's Annuals & Perennials,2/24/2023,"""Weeping Blue Broom"""
B2011.046,Psilotaceae,Psilotum,nudum,'Bunryu No-hana',Psilotum nudum 'Bunryu No-hana',Multiple Countries,Pantropical,"tropical to SW Spain, Hawaii & NZ (cv from Japan)",29-Mar-11,1,plant(s),Chad Wunderly,2/24/2023,NA
B59.136,Psilotaceae,Psilotum,nudum,NA,Psilotum nudum ,Multiple Countries,Pantropical,"tropical to SW Spain, Hawaii & NZ",NA,0,NA,Unknown,2/24/2023,NA
B79.019,Psilotaceae,Psilotum,nudum,NA,Psilotum nudum ,Multiple Countries,Pantropical,"tropical to SW Spain, Hawaii & NZ",23-Jan-79,0,plant(s),Huntington Botanical Gardens,2/24/2023,NA
